Name,Category,Type
Johnnie Walker Gold Label Reserve,Scotch,Blended Scotch Whisky
Johnnie Walker Green Label,Scotch,Blended Scotch Whisky
Johnnie Walker Red Label,Scotch,Blended Scotch Whisky
Johnnie White Walker,Scotch,Blended Scotch Whisky
Aberfeldy 12 Year,Scotch,Highland Single Malt Scotch Whisky
Glenmorangie Original 10 Year,Scotch,Highland Single Malt Scotch Whisky
Glenmorangie Quinta Ruban,Scotch,Highland Single Malt Scotch Whisky
The Dalmore 12,Scotch,Highland Single Malt Scotch Whisky
Ardbeg,Scotch,Islay Single Malt Scotch Whisky
Lagavulin 8 year,Scotch,Islay Single Malt Scotch Whisky
Lagavulin 9 year,Scotch,Islay Single Malt Scotch Whisky
Laphroaig 10 Year,Scotch,Islay Single Malt Scotch Whisky
Monkey Shoulder,Scotch,Blended Malt Scotch Whisky
Shackleton,Scotch,Blended Malt Scotch Whisky
Glen Grant 12 Year,Scotch,Single Malt Scotch Whisky
Glenfiddich 12 Year Old,Scotch,Single Malt Scotch Whisky
Glenfiddich 15 Year Old,Scotch,Single Malt Scotch Whisky
Talisker Storm,Scotch,Single Malt Scotch Whisky
The Balvenie Caribbean Cask 14,Scotch,Single Malt Scotch Whisky
The Balvenie Doublewood 12,Scotch,Single Malt Scotch Whisky
The Balvenie Doublewood 17,Scotch,Single Malt Scotch Whisky
The Glenlivet 12,Scotch,Single Malt Scotch Whisky
2 Gingers,Irish,
Bushmills Black Bush,Irish,
Bushmills Original,Irish,
Bushmills Red,Irish,
Jameson Caskmates IPA Edition,Irish,
Jameson Caskmates Stout Edition,Irish,
Jameson Gold Reserve,Irish,
Jameson Irish,Irish,
Midleton Vintage Release,Irish,
Paddy’s Old Irish Whiskey,Irish,
Redbreast 12 Year,Irish,
Slane Irish,Irish,
Teeling,Irish,
Teeling Small Batch,Irish,
The Quiet Man Original,Irish,
The Sexton Single Malt,Irish,
Tullamore Dew,Irish,
Tullamore Dew 10 Year,Irish,
Tullamore Dew Phoenix,Irish,
Writers’ Tears Copper Pot,Irish,
Canadian Club 1858,Canadian,
Canadian Club Reserve 9 Year,Canadian,
Caribou Crossing Single Barrel,Canadian,
Crown Royal,Canadian,
Crown Royal Black,Canadian,
Crown Royal Blender’s Mash,Canadian,
Crown Royal Cornerstone Blend,Canadian,
Crown Royal Northern Harvest Rye,Canadian,
Crown Royal Reserve,Canadian,
Crown Royal XO,Canadian,
Crown Royal XR,Canadian,
Forty Creek Barrel Select,Canadian,
Forty Creek Double Barrel Reserve,Canadian,
Lord Calvert,Canadian,
Pendleton Original,Canadian,
Pike Creek,Canadian,
Seagram’s 7,Canadian,
Crown Royal Maple,Canadian,Flavored Canadian Whisky
Crown Royal Peach,Canadian,Flavored Canadian Whisky
Crown Royal Salted Caramel,Canadian,Flavored Canadian Whisky
Crown Royal Vanilla,Canadian,Flavored Canadian Whisky
Fireball,Canadian,Flavored Canadian Whisky
